ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000138028	CGREF1	2	27321757	27341995	-1	protein_coding	10669	CGREF1	5.50290788195318e-08	0.491986309	0	0	2	8.29072e-05	0.0322818	GTEx/v8/Brain_Cerebellum	-	6.148e-07	rs1260326	3
ENSG00000138074	SLC5A6	2	27422455	27435826	-1	protein_coding	8884	SLC5A6	0.571968337581082	-0.400099261	0	0	180	4.46079e-09	1.64643e-12	EyeGEx:GTEx/v8/Whole_Blood	+	1.092e-09	rs1260326;rs10432705	3
ENSG00000138085	ATRAID	2	27434895	27440046	1	protein_coding	51374	ATRAID	0.00791394898030435	NA	0	0	129	1.91769e-07	1.12795e-16	EyeGEx:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	-	1.5e-11	rs1260326	3
ENSG00000084774	CAD	2	27440258	27466811	1	protein_coding	790	CAD	0.999999701880854	-0.710759294	0	0	129	2.19903e-06	1.2197e-06	EyeGEx:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Hippocampus	+	1.587e-06	rs10432705;rs1260326	3
ENSG00000138100	TRIM54	2	27505260	27530307	1	protein_coding	57159	TRIM54	8.24707898322991e-07	-1.053267254	0	0	11	3.91329e-06	0.00410579	GTEx/v8/Brain_Anterior_cingulate_cortex_BA24	-	1.654e-11	rs1260326;rs10432705	3
ENSG00000115204	MPV17	2	27532360	27548547	-1	protein_coding	4358	MPV17	1.10286841801097e-08	-0.205368529	4	18.95	0	NA	NA	NA	NA	5.266e-07	rs1260326	3
ENSG00000115207	GTF3C2	2	27548716	27579868	-1	protein_coding	2976	GTF3C2	0.999786435918561	-0.837016421	28	18.95	0	NA	NA	NA	NA	5.266e-07	rs1260326	3
ENSG00000115211	EIF2B4	2	27587219	27593353	-1	protein_coding	8890	EIF2B4	0.832609528731968	-0.214235303	23	18.47	0	NA	NA	NA	NA	1.5e-11	rs1260326	3
ENSG00000115234	SNX17	2	27593389	27599995	1	protein_coding	9784	SNX17	0.686180301198043	-0.681943317	21	18.47	135	7.63477e-07	0.00232951	GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Putamen_basal_ganglia	-	1.5e-11	rs1260326	3
ENSG00000163795	ZNF513	2	27600098	27603657	-1	protein_coding	130557	ZNF513	0.940738428263313	NA	16	18.47	0	NA	NA	NA	NA	1.5e-11	rs1260326	3
ENSG00000115241	PPM1G	2	27604061	27632554	-1	protein_coding	5496	PPM1G	0.996010385533881	-0.482626092	47	12.85	199	1.52127e-21	5.63993494458462e-19	EyeGEx:GTEx/v8/Whole_Blood	+	6.419e-12	rs1260326;rs10432705	3
ENSG00000115216	NRBP1	2	27650657	27665126	1	protein_coding	29959	NRBP1	0.999548511025196	-1.389706011	42	14.1	202	5.21642e-18	1.92769e-13	GTEx/v8/Whole_Blood	+	6.419e-12	rs1260326;rs10432705	3
ENSG00000157992	KRTCAP3	2	27665233	27669348	1	protein_coding	200634	KRTCAP3	0.0445235342133754	NA	24	9.832	169	5.7328e-15	1.50191e-10	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	-	6.419e-12	rs1260326;rs10432705	3
ENSG00000138002	IFT172	2	27667238	27712656	-1	protein_coding	26160	IFT172	2.29011817971014e-18	-0.505254909	62	15.52	218	2.22853e-10	8.81321570818606e-08	EyeGEx:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex	+	5.084e-08	rs1260326;rs10432705	3
ENSG00000115226	FNDC4	2	27714750	27718112	-1	protein_coding	64838	FNDC4	0.759219015798597	NA	19	15.52	1	8.5196e-05	0.0319849224561305	EyeGEx	+	2.227e-06	rs1260326;rs10432705	3
ENSG00000084734	GCKR	2	27719709	27746554	1	protein_coding	2646	GCKR	3.58392509874806e-16	-0.155697744	51	15.52	0	NA	NA	NA	NA	6.419e-12	rs1260326;rs10432705	3
ENSG00000233438	AC109829.1	2	27760253	27790011	1	protein_coding	NA	NA	NA	NA	24	8.041	0	NA	NA	NA	NA	1.342e-09	rs1260326;rs10432705	3
ENSG00000221843	C2orf16	2	27799389	27805588	1	protein_coding	84226	C2orf16	3.91661992667067e-17	-0.329746802	8	14.88	0	NA	NA	NA	NA	4.041e-07	rs1260326;rs10432705	3
ENSG00000243943	ZNF512	2	27805897	27858041	1	protein_coding	84450	ZNF512	0.949146986047491	-1.279253328	27	14.88	0	NA	NA	NA	NA	3.747e-07	rs1260326;rs10432705	3
ENSG00000176714	CCDC121	2	27848506	27851879	-1	protein_coding	79635	CCDC121	9.72713578876563e-05	-0.266319334	8	14.13	0	NA	NA	NA	NA	4.133e-07	rs1260326;rs10432705	3
ENSG00000198522	GPN1	2	27851114	27874375	1	protein_coding	11321	GPN1	0.0049035919998219	-0.238154635	9	14.13	122	2.47502e-10	1.42205e-10	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	+	8.126e-09	rs1260326;rs10432705	3
ENSG00000119760	SUPT7L	2	27873679	27886676	-1	protein_coding	9913	SUPT7L	0.833193338587633	-0.966218532	5	12.86	0	NA	NA	NA	NA	6.919e-08	rs1260326;rs10432705	3
ENSG00000163798	SLC4A1AP	2	27886338	27917840	1	protein_coding	22950	SLC4A1AP	7.73999085415032e-07	-0.546764453	8	15.03	4	4.64153e-10	1.28731e-22	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Frontal_Cortex_BA9	-	4.031e-08	rs10432705;rs1260326	3
ENSG00000205334	AC074091.13	2	27928653	27938599	-1	protein_coding	100129995	LINC01460	NA	NA	5	12.09	0	NA	NA	NA	NA	4.593e-08	rs10432705	3
ENSG00000243147	MRPL33	2	27994584	28210954	1	protein_coding	9553	MRPL33	0.749164756585824	-0.22012956	6	14.77	0	NA	NA	NA	NA	2.117e-08	rs10432705	3
ENSG00000268656	AC110084.1	2	27998851	28009186	-1	protein_coding	NA	NA	NA	NA	2	8.25	0	NA	NA	NA	NA	2.117e-08	rs10432705	3
ENSG00000171174	RBKS	2	28004231	28113965	-1	protein_coding	64080	RBKS	1.93197572918752e-05	-0.689745423	5	14.77	0	NA	NA	NA	NA	2.117e-08	rs10432705	3
ENSG00000158019	BRE	2	28112808	28561768	1	protein_coding	9577	BRE	0.279976282823241	NA	18	15.66	0	NA	NA	NA	NA	2.483e-05	rs10432705	3
ENSG00000115902	SLC1A4	2	65215611	65250999	1	protein_coding	6509	SLC1A4	0.242897704080993	-0.150607035	18	10.3	17	1.78282e-19	1.11169247819964e-16	EyeGEx:GTEx/v8/Whole_Blood	-	6.06e-20	rs2422358	4
ENSG00000021826	CPS1	2	211342406	211543831	1	protein_coding	1373	CPS1	0.0833573677195577	0.929214216	31	20.8	0	NA	NA	NA	NA	7.511e-38	rs1047891;rs11887861;rs2371031;rs4673559;rs72946093	6
ENSG00000163814	CDCP1	3	45123770	45187914	-1	protein_coding	64866	CDCP1	0.0211525261340679	1.805572984	1	0.393	0	NA	NA	NA	NA	0.0006779	rs17279437	8
ENSG00000011376	LARS2	3	45429998	45590913	1	protein_coding	23395	LARS2	2.60643828587561e-07	-0.656649668	7	5.568	0	NA	NA	NA	NA	2.504e-10	rs17279437	8
ENSG00000144791	LIMD1	3	45596886	45727830	1	protein_coding	8994	LIMD1	0.127770680853122	0.273579593	3	8.913	16	1.05881e-10	1.11588e-15	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	+	2.396e-16	rs17279437	8
ENSG00000211456	SACM1L	3	45730548	45786916	1	protein_coding	22908	SACM1L	0.721901742734862	-0.340039106	8	9.73	3	3.62201e-07	1.3022e-09	GTEx/v8/Whole_Blood	-	6.372e-15	rs17279437	8
ENSG00000163817	SLC6A20	3	45796942	45838027	-1	protein_coding	54716	SLC6A20	6.44898031809492e-10	0.251558546	13	25.4	0	NA	NA	NA	NA	2.396e-16	rs17279437	8
ENSG00000109586	GALNT7	4	174089904	174245118	1	protein_coding	51809	GALNT7	0.000181549323194455	-0.749145633	3	5.161	0	NA	NA	NA	NA	6.278e-07	rs114674565	9
ENSG00000164106	SCRG1	4	174305852	174327531	-1	protein_coding	11341	SCRG1	0.0345290274781524	1.44201256	2	7.128	3	2.12064e-11	1.00367794935887e-08	EyeGEx	+	5.873e-09	rs114674565	9
ENSG00000164180	TMEM161B	5	87485450	87565293	-1	protein_coding	153396	TMEM161B	0.00368500214116822	0.012315634	45	13.41	67	2.03493e-06	0.000466806821358171	EyeGEx	-	5.364e-17	rs4451795;rs17421410	10
ENSG00000197461	PDGFA	7	536895	559933	-1	protein_coding	5154	PDGFA	0.858461737106681	NA	0	0	1	1.58799e-05	0.000528943	GTEx/v8/Brain_Cerebellar_Hemisphere	NA	NA	rs150005729	12
ENSG00000154997	SEPT14	7	55861237	55930482	-1	protein_coding	346288	SEPT14	4.96607463060426e-05	1.520998124	7	7.356	0	NA	NA	NA	NA	2.185e-06	rs34929372	13
ENSG00000249773	MRPS17	7	55954970	56022932	1	protein_coding	51373	MRPS17	NA	0.590236577	83	16.59	0	NA	NA	NA	NA	6.326e-12	rs7776550;rs34929372	13
ENSG00000178665	ZNF713	7	55955169	56009918	1	protein_coding	349075	ZNF713	0.00111519799587951	1.280615086	75	16.59	84	7.05725e-14	3.18632e-17	EyeGEx:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	+	5.834e-17	rs7776550;rs34929372	13
ENSG00000146729	GBAS	7	56019486	56067874	1	protein_coding	2631	GBAS	4.14826721847044e-05	0.01587396	72	14.65	199	5.98301e-19	2.94046178009863e-16	EyeGEx:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	+	7.619e-17	rs7776550;rs34929372	13
ENSG00000239789	MRPS17	7	56019512	56024192	1	protein_coding	51373	MRPS17	0.74281378474708	0.590236577	26	11.49	0	NA	NA	NA	NA	8.575e-17	rs34929372;rs7776550	13
ENSG00000146733	PSPH	7	56078744	56119297	-1	protein_coding	5723	PSPH	0.709723367299492	-0.708093048	55	13.6	61	1.89335e-09	1.1132e-49	EyeGEx:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Liver	+	5.834e-17	rs7776550;rs34929372	13
ENSG00000146731	CCT6A	7	56119323	56131682	1	protein_coding	908	CCT6A	0.998661755000443	-0.838489629	31	18.95	4	3.0428e-06	0.00417516	GTEx/v8/Whole_Blood	+	1.748e-11	rs7776550;rs34929372	13
ENSG00000129103	SUMF2	7	56131695	56148363	1	protein_coding	25870	SUMF2	5.52632393168249e-05	0.091292367	45	18.95	159	3.38442e-18	9.31503e-32	EyeGEx:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	-	5.834e-17	rs7776550;rs34929372	13
ENSG00000164776	PHKG1	7	56148440	56160689	-1	protein_coding	5260	PHKG1	3.5805417364897e-10	-0.074283415	55	14.45	61	1.58998e-08	5.53727e-08	GTEx/v8/Whole_Blood	+	5.834e-17	rs7776550;rs34929372	13
ENSG00000106153	CHCHD2	7	56169262	56174269	-1	protein_coding	51142	CHCHD2	0.000221319937862802	0.442133729	51	11.32	146	1.74199e-46	2.06361e-57	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	+	5.439e-12	rs7776550;rs34929372	13
ENSG00000185290	NUPR1L	7	56182374	56184093	-1	protein_coding	389493	NUPR1L	NA	0.202565693	33	11.32	152	2.03056e-14	1.22258e-85	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	+	5.893e-12	rs7776550;rs34929372	13
ENSG00000173334	TRIB1	8	126442563	126450647	1	protein_coding	10221	TRIB1	0.606587656595858	-0.456914247	1	2.393	0	NA	NA	NA	NA	0.01921	rs2954021	14
ENSG00000155158	TTC39B	9	15163620	15307358	-1	protein_coding	158219	TTC39B	1.06813738722138e-11	0.056260627	31	10.07	30	2.21575e-11	5.34027e-32	GTEx/v8/Whole_Blood:GTEx/v8/Liver	+	8.33e-16	rs686030	15
ENSG00000148572	NRBF2	10	64893050	64914783	1	protein_coding	29982	NRBF2	0.0821062414135336	-0.409712515	23	13.93	363	3.99704e-28	1.77431705414168e-25	EyeGEx	-	4.329e-13	rs35506078	16
ENSG00000171988	JMJD1C	10	64926981	65225722	-1	protein_coding	221037	JMJD1C	0.999999999962643	-0.552974329	183	20.3	2	9.87614e-05	0.03817223781662	EyeGEx	-	4.329e-13	rs35506078	16
ENSG00000165476	REEP3	10	65281123	65384883	1	protein_coding	221035	REEP3	0.0129812993547476	1.398422055	135	15.42	309	2.14343e-11	3.63753e-07	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Putamen_basal_ganglia	+	4.329e-13	rs35506078	16
ENSG00000100593	ISM2	14	77940740	77965210	-1	protein_coding	145501	ISM2	1.26338885002286e-05	-0.458837666	6	7.026	0	NA	NA	NA	NA	2.332e-08	rs111947468	17
ENSG00000100596	SPTLC2	14	77972340	78083116	-1	protein_coding	9517	SPTLC2	0.820593934643991	-0.163336734	32	14.9	12	3.86312e-07	1.05733e-13	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Putamen_basal_ganglia	+	6.528e-09	rs111947468	17
ENSG00000171241	SHCBP1	16	46614466	46655538	-1	protein_coding	79801	SHCBP1	5.5265911035503e-06	-0.143868961	4	5.755	141	1.884e-13	8.65903e-10	GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9	-	1.239e-10	rs11862073	18
ENSG00000069329	VPS35	16	46690054	46723430	-1	protein_coding	55737	VPS35	0.993599132125856	-1.365292041	19	10.45	0	NA	NA	NA	NA	9.498e-06	rs11862073	18
ENSG00000091651	ORC6	16	46723555	46732306	1	protein_coding	23594	ORC6	0.000734225790234647	-0.354606087	13	11.22	0	NA	NA	NA	NA	9.218e-06	rs11862073	18
ENSG00000140795	MYLK3	16	46740891	46824319	-1	protein_coding	91807	MYLK3	0.14096753512483	-0.484184221	42	12.33	124	2.67531e-06	0.00237283	GTEx/v8/Brain_Frontal_Cortex_BA9	-	1.239e-10	rs11862073	18
ENSG00000155330	C16orf87	16	46830519	46865323	-1	protein_coding	388272	C16orf87	0.097478781929178	-0.660955083	20	13.88	0	NA	NA	NA	NA	1.034e-08	rs11862073	18
ENSG00000166123	GPT2	16	46918290	46965209	1	protein_coding	84706	GPT2	0.00368564013628491	-1.865386597	32	12.05	0	NA	NA	NA	NA	2.161e-08	rs11862073	18
ENSG00000069345	DNAJA2	16	46989299	47007699	-1	protein_coding	10294	DNAJA2	0.985455360988873	-0.564772174	1	0.189	0	NA	NA	NA	NA	1.296e-08	rs11862073	18
ENSG00000129636	ITFG1	16	47188298	47498060	-1	protein_coding	81533	ITFG1	0.962023993456245	-0.873761749	1	1.41	0	NA	NA	NA	NA	NA	rs35141413	18
ENSG00000102893	PHKB	16	47495034	47735434	1	protein_coding	5257	PHKB	3.16119097774812e-10	-0.84061607	2	10.67	43	2.91169e-05	0.00478488975564009	EyeGEx	-	2.161e-08	rs35141413;rs11862073	18
ENSG00000161542	PRPSAP1	17	74305567	74380602	-1	protein_coding	5635	PRPSAP1	1.9694174251285e-10	0.433937712	0	0	1	3.47724e-05	1.04317e-41	GTEx/v8/Brain_Cerebellum	-	2.607e-08	rs9897045	19
ENSG00000070526	ST6GALNAC1	17	74620843	74639920	-1	protein_coding	55808	ST6GALNAC1	2.24205320873445e-11	0.033659261	97	12.64	143	1.78427e-24	1.17255e-19	GTEx/v8/Whole_Blood	-	1.223e-09	rs8067445;rs9897045	19
ENSG00000182534	MXRA7	17	74668633	74707098	-1	protein_coding	439921	MXRA7	0.013741641700292	-1.094166289	122	13.35	262	1.37746e-75	8.9924e-89	EyeGEx:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra:GTEx/v8/Liver	+	1.223e-09	rs9897045;rs8067445	19
ENSG00000070495	JMJD6	17	74708919	74722866	-1	protein_coding	23210	JMJD6	0.821640917971612	-1.261694542	41	13.35	167	5.81173e-35	8.81925e-29	EyeGEx:GTEx/v8/Whole_Blood	+	1.223e-09	rs8067445;rs9897045	19
ENSG00000181038	METTL23	17	74722912	74730018	1	protein_coding	124512	METTL23	0.113237609183132	NA	6	10.36	0	NA	NA	NA	NA	9.144e-08	rs8067445;rs9897045	19
ENSG00000267168	RP11-318A15.7	17	74729060	74734604	1	protein_coding	NA	NA	NA	NA	3	10.36	0	NA	NA	NA	NA	0.0002738	rs8067445	19
ENSG00000161547	SRSF2	17	74730197	74733456	-1	protein_coding	6427	SRSF2	0.352601171847882	-0.748634793	3	10.36	0	NA	NA	NA	NA	0.0002738	rs8067445	19
ENSG00000092931	MFSD11	17	74731947	74777531	1	protein_coding	79157	MFSD11	0.0045322819249491	NA	4	10.36	0	NA	NA	NA	NA	0.02115	rs8067445	19
ENSG00000142449	FBN3	19	8130286	8214730	-1	protein_coding	84467	FBN3	1.35475416104555e-27	NA	2	12.41	0	NA	NA	NA	NA	NA	rs72993317	20
ENSG00000090661	CERS4	19	8271620	8327305	1	protein_coding	79603	CERS4	2.04162899798769e-13	NA	21	9.604	1	2.09084e-05	0.0201703178686484	EyeGEx	+	1.105e-10	rs12327692;rs72993317	20
ENSG00000100092	SH3BP1	22	38030661	38062939	1	protein_coding	23616	SH3BP1	0.152682967806694	NA	0	0	2	1.99478e-05	7.06058e-97	GTEx/v8/Whole_Blood	+	2.156e-06	rs8135665	21
ENSG00000100101	NOL12	22	38077680	38170137	1	protein_coding	79159	NOL12	0.0905536976948761	-0.956054608	12	14.92	0	NA	NA	NA	NA	2.156e-06	rs8135665	21
ENSG00000100106	TRIOBP	22	38093011	38172563	1	protein_coding	11078	TRIOBP	8.94617457135198e-13	0.647747208	12	14.92	51	2.55291e-22	5.02003e-21	EyeGEx:GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Putamen_basal_ganglia	-	7.804e-15	rs8135665	21
ENSG00000189060	H1F0	22	38201114	38203442	1	protein_coding	3005	H1F0	0.154802582065257	0.263936229	0	0	6	3.51026e-05	1.29397e-42	GTEx/v8/Whole_Blood	+	1.037e-07	rs8135665	21
ENSG00000128310	GALR3	22	38219389	38221502	1	protein_coding	8484	GALR3	0.0231534228966913	0.037098818	1	6.285	0	NA	NA	NA	NA	1.331e-06	rs8135665	21
ENSG00000100124	ANKRD54	22	38226862	38245334	-1	protein_coding	129138	ANKRD54	0.0153084731551182	-1.010382097	2	6.285	0	NA	NA	NA	NA	8.592e-07	rs8135665	21
ENSG00000100129	EIF3L	22	38244875	38285414	1	protein_coding	51386	EIF3L	0.93881361379477	-0.839586358	2	5.042	0	NA	NA	NA	NA	7.281e-09	rs8135665	21
ENSG00000100139	MICALL1	22	38301664	38338829	1	protein_coding	85377	MICALL1	0.000381388681523539	-1.014016949	3	5.042	0	NA	NA	NA	NA	7.281e-09	rs8135665	21
ENSG00000128346	C22orf23	22	38339528	38349676	-1	protein_coding	84645	C22orf23	2.51126071127562e-06	-0.474791179	3	2.508	0	NA	NA	NA	NA	3.717e-09	rs8135665	21
ENSG00000100142	POLR2F	22	38348614	38437922	1	protein_coding	5435	POLR2F	0.652869046375363	-0.095958895	4	2.508	0	NA	NA	NA	NA	1.919e-11	rs8135665	21
ENSG00000100146	SOX10	22	38366693	38383429	-1	protein_coding	6663	SOX10	0.91309785132116	-0.155728577	1	0.305	0	NA	NA	NA	NA	3.717e-09	rs8135665	21
ENSG00000100151	PICK1	22	38452318	38471708	1	protein_coding	9463	PICK1	0.555069205475041	-0.905062072	26	19.31	51	2.50072e-58	1.68541e-50	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra	+	7.804e-15	rs8135665	21
ENSG00000100156	SLC16A8	22	38474141	38480100	-1	protein_coding	23539	SLC16A8	0.11016481897003	-0.553001295	9	19.31	21	1.00754e-07	2.78419e-05	GTEx/v8/Whole_Blood:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Hippocampus	+	7.804e-15	rs8135665	21
